"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","AL","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 46"," 56"," 4"," 1"," 30"," 5"," 1","-10"," 1"," 2","-1"," 1"," 1"," 49"," 42"," 57"," 76"," 32"," 51"," 30"," 42"," 59"," 58"," 71"," 69"," 4"," 13"," 1","-6","-2"," 0"," 0","-3","-1"
"2014F","AL","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 9"," 11"," 1"," 0"," 6"," 1"," 0","-2"," 0"," 0"," 0"," 0"," 0"," 10"," 8"," 11"," 15"," 6"," 10"," 6"," 8"," 12"," 11"," 14"," 14"," 1"," 3"," 0","-1"," 0"," 0"," 0","-1"," 0"
"2014F","AL","ARICB"," 14331"," 14263"," 15082"," 16396"," 16912"," 18244"," 17431"," 18224"," 17135"," 21380"," 21076"," 20529"," 22219"," 24144"," 20617"," 17956"," 19660"," 21234"," 24673"," 20905"," 20784"," 24866"," 23781"," 24677"," 24058"," 24935"," 23135"," 30288"," 27418"," 29753"," 28677"," 35075"," 32802"," 33071"," 33572"," 33141"," 37851"," 36277"," 29565"," 30506"," 34036"," 28769"," 30127"," 30814"," 44625"," 46502"," 42896"," 35061"," 35132"," 17692"," 17634"," 18178"," 17721"," 16970"," 16483"
"2014F","AL","ARICP"," 2160"," 2149"," 2273"," 2471"," 2548"," 2749"," 2627"," 2746"," 2582"," 3222"," 3176"," 3094"," 3348"," 3638"," 3107"," 2706"," 2963"," 3200"," 3718"," 3150"," 3132"," 3747"," 3584"," 3719"," 3625"," 3757"," 3486"," 4564"," 4132"," 4484"," 4321"," 5286"," 4943"," 4984"," 5059"," 4994"," 5704"," 5467"," 4455"," 4597"," 5129"," 4335"," 4540"," 4643"," 6725"," 7007"," 6464"," 5283"," 5294"," 2666"," 2657"," 2739"," 2670"," 2557"," 2484"
"2014F","AL","ARTCB"," 14331"," 14263"," 15082"," 16396"," 16912"," 18244"," 17431"," 18224"," 17135"," 21380"," 21076"," 20529"," 22219"," 24144"," 20617"," 17956"," 19660"," 21234"," 24673"," 20905"," 20784"," 24866"," 23781"," 24677"," 24058"," 24935"," 23135"," 30288"," 27418"," 29753"," 28677"," 35075"," 32802"," 33071"," 33572"," 33141"," 37851"," 36277"," 29565"," 30506"," 34036"," 28769"," 30127"," 30814"," 44625"," 46502"," 42896"," 35061"," 35132"," 17692"," 17634"," 18178"," 17721"," 16970"," 16483"
"2014F","AL","ARTCP"," 2160"," 2149"," 2273"," 2471"," 2548"," 2749"," 2627"," 2746"," 2582"," 3222"," 3176"," 3094"," 3348"," 3638"," 3107"," 2706"," 2963"," 3200"," 3718"," 3150"," 3132"," 3747"," 3584"," 3719"," 3625"," 3757"," 3486"," 4564"," 4132"," 4484"," 4321"," 5286"," 4943"," 4984"," 5059"," 4994"," 5704"," 5467"," 4455"," 4597"," 5129"," 4335"," 4540"," 4643"," 6725"," 7007"," 6464"," 5283"," 5294"," 2666"," 2657"," 2739"," 2670"," 2557"," 2484"
"2014F","AL","ARTXB"," 14331"," 14263"," 15082"," 16396"," 16912"," 18244"," 17431"," 18224"," 17135"," 21380"," 21076"," 20529"," 22219"," 24144"," 20617"," 17956"," 19660"," 21234"," 24673"," 20905"," 20784"," 24866"," 23781"," 24677"," 24058"," 24935"," 23135"," 30288"," 27418"," 29753"," 28677"," 35075"," 32802"," 33071"," 33572"," 33141"," 37851"," 36277"," 29565"," 30506"," 34036"," 28769"," 30127"," 30814"," 44625"," 46502"," 42896"," 35061"," 35132"," 17692"," 17634"," 18178"," 17721"," 16970"," 16483"
"2014F","AL","ARTXP"," 2160"," 2149"," 2273"," 2471"," 2548"," 2749"," 2627"," 2746"," 2582"," 3222"," 3176"," 3094"," 3348"," 3638"," 3107"," 2706"," 2963"," 3200"," 3718"," 3150"," 3132"," 3747"," 3584"," 3719"," 3625"," 3757"," 3486"," 4564"," 4132"," 4484"," 4321"," 5286"," 4943"," 4984"," 5059"," 4994"," 5704"," 5467"," 4455"," 4597"," 5129"," 4335"," 4540"," 4643"," 6725"," 7007"," 6464"," 5283"," 5294"," 2666"," 2657"," 2739"," 2670"," 2557"," 2484"
"2014F","AL","AVACB"," 1413"," 1474"," 1619"," 1884"," 1679"," 2250"," 2010"," 1924"," 2147"," 2043"," 1761"," 1792"," 1805"," 1670"," 1545"," 1259"," 1172"," 1231"," 1212"," 1186"," 1254"," 1143"," 874"," 894"," 871"," 868"," 1031"," 721"," 790"," 669"," 585"," 552"," 537"," 522"," 556"," 488"," 470"," 522"," 414"," 513"," 417"," 415"," 273"," 376"," 390"," 388"," 593"," 587"," 306"," 229"," 375"," 352"," 336"," 256"," 285"
"2014F","AL","AVACP"," 280"," 292"," 321"," 373"," 333"," 446"," 398"," 381"," 425"," 405"," 349"," 355"," 358"," 331"," 306"," 249"," 232"," 244"," 240"," 235"," 248"," 226"," 173"," 177"," 172"," 172"," 204"," 143"," 157"," 133"," 116"," 109"," 106"," 103"," 110"," 97"," 93"," 103"," 82"," 102"," 83"," 82"," 54"," 74"," 77"," 77"," 118"," 116"," 61"," 45"," 74"," 70"," 66"," 51"," 57"
