"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","TX","ARICD"," .74"," .76"," .78"," .77"," 1.56"," 1.77"," 1.85"," 2"," 2.22"," 2.51"," 3.79"," 5.18"," 4.42"," 4.24"," 4.19"," 4.2"," 4.58"," 3.35"," 3.21"," 2.84"," 2.94"," 3.33"," 2.33"," 3.14"," 2.94"," 3.18"," 3.32"," 3.49"," 3.54"," 3.73"," 3.8"," 3.79"," 3.83"," 4.22"," 4.74"," 5.3"," 5.73"," 6.16"," 6.37"," 10.62"," 12.39"," 14.43"," 15.81"," 15.14"," 15.29"
"2014F","TX","ARICV"," 58"," 58.1"," 58.5"," 60.3"," 126.7"," 95.7"," 82.9"," 72.1"," 105.4"," 156.2"," 274.5"," 272.5"," 230.2"," 329.6"," 298"," 329.2"," 414.4"," 279.8"," 307.9"," 182.7"," 273"," 206.8"," 182.3"," 264.9"," 213.7"," 248.7"," 263.7"," 243.1"," 262.8"," 208.9"," 200.7"," 295"," 335.3"," 389.7"," 408.4"," 604.3"," 599"," 618.8"," 453.3"," 403.9"," 546.3"," 491.7"," 602.5"," 615"," 660.6"
"2014F","TX","ARTCD"," .74"," .76"," .78"," .77"," 1.56"," 1.77"," 1.85"," 2"," 2.22"," 2.51"," 3.79"," 5.18"," 4.42"," 4.24"," 4.19"," 4.2"," 4.58"," 3.35"," 3.21"," 2.84"," 2.94"," 3.33"," 2.33"," 3.14"," 2.94"," 3.18"," 3.32"," 3.49"," 3.54"," 3.73"," 3.8"," 3.79"," 3.83"," 4.22"," 4.74"," 5.3"," 5.73"," 6.16"," 6.37"," 10.62"," 12.39"," 14.43"," 15.81"," 15.14"," 15.29"
"2014F","TX","ARTCV"," 58"," 58.1"," 58.5"," 60.3"," 126.7"," 95.7"," 82.9"," 72.1"," 105.4"," 156.2"," 274.5"," 272.5"," 230.2"," 329.6"," 298"," 329.2"," 414.4"," 279.8"," 307.9"," 182.7"," 273"," 206.8"," 182.3"," 264.9"," 213.7"," 248.7"," 263.7"," 243.1"," 262.8"," 208.9"," 200.7"," 295"," 335.3"," 389.7"," 408.4"," 604.3"," 599"," 618.8"," 453.3"," 403.9"," 546.3"," 491.7"," 602.5"," 615"," 660.6"
"2014F","TX","ARTXD"," .74"," .76"," .78"," .77"," 1.56"," 1.77"," 1.85"," 2"," 2.22"," 2.51"," 3.79"," 5.18"," 4.42"," 4.24"," 4.19"," 4.2"," 4.58"," 3.35"," 3.21"," 2.84"," 2.94"," 3.33"," 2.33"," 3.14"," 2.94"," 3.18"," 3.32"," 3.49"," 3.54"," 3.73"," 3.8"," 3.79"," 3.83"," 4.22"," 4.74"," 5.3"," 5.73"," 6.16"," 6.37"," 10.62"," 12.39"," 14.43"," 15.81"," 15.14"," 15.29"
"2014F","TX","ARTXV"," 58"," 58.1"," 58.5"," 60.3"," 126.7"," 95.7"," 82.9"," 72.1"," 105.4"," 156.2"," 274.5"," 272.5"," 230.2"," 329.6"," 298"," 329.2"," 414.4"," 279.8"," 307.9"," 182.7"," 273"," 206.8"," 182.3"," 264.9"," 213.7"," 248.7"," 263.7"," 243.1"," 262.8"," 208.9"," 200.7"," 295"," 335.3"," 389.7"," 408.4"," 604.3"," 599"," 618.8"," 453.3"," 403.9"," 546.3"," 491.7"," 602.5"," 615"," 660.6"
"2014F","TX","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","TX","AVACV"," 22"," 22.3"," 17.3"," 18.5"," 26.2"," 22.8"," 23"," 27.3"," 27.7"," 34"," 57.5"," 71.2"," 49.8"," 40.2"," 49.9"," 66.4"," 65.4"," 43.8"," 37.9"," 34.3"," 39.4"," 28.8"," 33.8"," 28.8"," 31.1"," 27.2"," 29.3"," 31.2"," 22.7"," 35.4"," 33.4"," 26"," 28.8"," 32.1"," 37"," 47.9"," 55.7"," 58.9"," 57.5"," 35.6"," 79.1"," 108"," 115.6"," 107.6"," 75.9"
"2014F","TX","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","TX","AVTCV"," 22"," 22.3"," 17.3"," 18.5"," 26.2"," 22.8"," 23"," 27.3"," 27.7"," 34"," 57.5"," 71.2"," 49.8"," 40.2"," 49.9"," 66.4"," 65.4"," 43.8"," 37.9"," 34.3"," 39.4"," 28.8"," 33.8"," 28.8"," 31.1"," 27.2"," 29.3"," 31.2"," 22.7"," 35.4"," 33.4"," 26"," 28.8"," 32.1"," 37"," 47.9"," 55.7"," 58.9"," 57.5"," 35.6"," 79.1"," 108"," 115.6"," 107.6"," 75.9"
